0.184	0.026	0.207	-0.01	0.07	0.074	0.108	-0.322	0.145	-0.149	0.063	0.117	-0.073	0.033	0.105	0.115	0.032	0.059	-0.166	0.018	-0.198	-0.171	-0.047	-0.031	-0.035	-0.067	0.05	-0.065	-0.02	0.029	0.127	0.108	0.075	-0.051	0.284	-0.18	-0.014	0.091	0.234	0.147	0.252	0.0
0.016	-0.184	0.167	0.083	-0.115	0.19	0.302	0.077	0.33	-0.145	0.111	0.169	-0.213	0.027	0.171	0.023	0.049	0.186	-0.054	-0.139	-0.404	-0.124	-0.04	0.353	0.149	0.121	-0.175	-0.001	-0.247	0.257	0.105	0.0	0.075	0.234	-0.065	-0.104	0.078	-0.251	0.051	0.149	0.258	-0.02
0.45	0.278	0.453	0.088	0.311	0.261	0.448	0.444	0.6	0.211	0.255	0.169	-0.132	0.319	-0.293	0.081	-0.096	-0.336	0.014	0.3	0.111	0.403	0.448	0.324	0.497	0.097	0.228	0.172	0.259	0.481	0.013	0.235	0.338	0.059	0.52	0.169	0.367	0.244	-0.043	0.259	0.182	-0.036
0.04	-0.018	0.029	0.127	0.227	-0.178	-0.185	0.454	-0.463	0.456	0.129	0.451	0.446	-0.179	0.621	0.229	0.088	0.149	0.473	0.288	-0.144	0.24	-0.324	-0.096	0.115	0.341	-0.46	0.024	0.209	-0.298	0.095	0.049	0.285	-0.093	-0.529	0.344	0.321	-0.029	0.537	-0.135	-0.087	-0.028
0.009	0.032	0.089	-0.163	-0.221	-0.154	-0.019	-0.47	-0.057	-0.372	0.015	0.0	-0.179	-0.103	0.1	-0.109	-0.099	-0.098	-0.443	-0.001	-0.208	-0.492	-0.111	-0.133	0.048	-0.294	0.009	-0.126	-0.038	-0.101	-0.004	0.063	-0.403	-0.116	0.031	-0.044	-0.352	-0.039	-0.037	-0.012	0.042	-0.076
-0.029	-0.059	0.07	-0.004	0.04	0.048	-0.043	0.005	-0.008	0.101	0.002	-0.044	0.07	-0.003	0.068	0.067	-0.063	-0.047	0.041	0.06	0.072	0.053	-0.156	0.005	0.02	0.101	0.047	0.08	0.04	0.064	-0.087	0.009	0.07	0.003	0.002	-0.019	0.08	-0.074	-0.025	0.015	0.063	0.087
0.288	0.281	0.146	-0.009	-0.083	-0.148	-0.142	0.089	0.039	-0.068	-0.179	0.176	-0.08	-0.123	0.194	0.323	0.072	-0.04	-0.129	-0.048	0.092	0.12	0.054	0.092	-0.175	-0.103	-0.254	-0.031	0.185	0.021	0.288	0.15	-0.019	0.013	-0.486	0.108	0.288	0.33	0.02	0.286	0.056	0.083
0.029	-0.042	-0.132	-0.678	-0.023	0.021	-0.334	0.1	-0.212	-0.056	-0.214	-0.264	-0.088	-0.029	0.01	-0.011	0.012	-0.011	0.119	0.091	0.009	0.048	-0.004	-0.05	-0.322	0.077	0.088	0.046	-0.025	-0.012	-0.026	-0.056	0.071	-0.325	0.06	0.085	-0.007	-0.123	-0.174	0.063	-0.534	-0.376
-0.032	0.057	0.064	-0.007	-0.261	-0.207	-0.018	-0.092	-0.004	-0.235	-0.044	-0.11	-0.103	-0.117	0.07	-0.071	-0.031	0.026	-0.163	-0.037	-0.146	-0.144	-0.11	-0.053	-0.007	-0.211	0.002	-0.119	0.022	-0.19	0.1	0.041	-0.248	-0.141	-0.057	-0.038	-0.102	-0.008	0.073	-0.112	0.115	0.01
-0.119	-0.108	-0.036	-0.056	-0.073	-0.018	-0.056	0.0	-0.064	-0.136	-0.009	0.019	-0.033	-0.01	-0.019	-0.019	-0.107	-0.065	-0.053	-0.027	0.001	-0.043	-0.076	-0.06	0.053	-0.051	-0.067	0.059	-0.095	-0.165	0.01	-0.006	0.039	-0.039	-0.005	-0.017	-0.187	-0.099	-0.009	-0.123	0.047	0.029
-0.022	-0.01	0.032	0.026	0.173	0.098	0.101	-0.095	0.119	0.093	0.012	0.033	0.163	0.118	0.103	0.008	-0.022	-0.026	-0.084	0.082	0.031	-0.043	0.084	0.06	-0.015	0.197	0.137	0.097	0.01	0.06	0.014	0.044	0.129	0.052	0.057	0.028	-0.011	-0.053	0.046	0.013	0.0	0.031
-0.065	-0.181	0.199	-0.308	0.145	-0.016	-0.087	0.422	-0.193	0.235	-0.516	0.287	0.273	-0.05	0.174	0.181	0.268	0.366	0.346	0.176	0.297	0.263	-0.218	-0.168	0.165	0.336	0.109	0.127	-0.475	0.084	0.134	-0.03	0.34	0.019	-0.001	0.18	0.316	0.098	0.0	-0.006	0.122	-0.23
0.013	0.064	0.135	-0.006	-0.051	-0.08	0.029	-0.121	-0.089	0.04	-0.071	-0.047	-0.006	0.007	-0.022	-0.044	-0.088	0.053	-0.058	0.043	-0.116	-0.075	-0.036	-0.008	0.123	-0.039	-0.037	0.012	-0.033	-0.049	-0.003	0.063	0.06	0.003	-0.063	0.034	-0.151	-0.021	-0.033	0.061	-0.058	-0.03
-0.125	-0.059	0.018	-0.107	0.139	0.118	0.143	0.063	-0.072	0.112	0.125	-0.097	0.077	0.072	0.006	0.084	0.058	0.031	-0.007	-0.093	0.024	0.105	0.18	0.022	0.019	0.028	0.123	0.033	-0.009	0.028	-0.089	-0.093	0.037	0.075	0.092	-0.113	0.069	0.154	0.081	0.013	-0.056	-0.131
-0.349	-0.165	0.165	0.103	-0.262	-0.024	-0.125	-0.228	-0.156	-0.128	-0.517	0.047	-0.221	-0.194	-0.219	-0.246	-0.101	-0.41	-0.269	-0.476	-0.07	-0.04	-0.13	-0.121	0.091	-0.311	-0.597	-0.244	-0.559	-0.281	-0.24	0.105	0.056	-0.093	-0.222	0.013	0.309	-0.386	-0.146	-0.481	-0.04	-0.189
-0.363	-0.377	-0.247	-0.095	0.142	-0.276	-0.144	0.283	-0.152	0.38	0.104	-0.06	0.101	0.484	-0.387	-0.264	-0.115	-0.315	0.545	-0.181	0.014	0.549	0.173	0.018	-0.198	0.34	0.003	0.342	-0.089	0.238	-0.465	-0.459	-0.029	0.264	0.233	-0.216	0.563	0.081	-0.067	-0.438	0.043	-0.301
-0.189	-0.008	-0.149	-0.45	-0.112	-0.023	-0.227	-0.25	-0.303	-0.31	-0.164	-0.048	-0.17	-0.079	-0.238	-0.319	-0.247	-0.196	-0.183	-0.008	-0.279	-0.049	-0.019	-0.002	-0.095	-0.317	-0.362	-0.055	-0.148	-0.267	-0.121	-0.132	-0.425	-0.188	-0.033	0.029	0.03	-0.085	-0.188	-0.32	0.063	-0.164
-0.008	-0.127	-0.372	-0.359	0.008	0.012	-0.262	-0.183	-0.159	-0.094	0.015	-0.146	-0.053	0.031	-0.008	-0.018	-0.017	0.043	0.112	0.03	-0.077	-0.059	0.004	-0.056	-0.156	-0.031	-0.109	-0.1	0.035	-0.222	0.101	0.134	-0.23	-0.053	0.032	-0.107	-0.059	0.01	-0.219	-0.033	0.022	-0.026
